x,y,p,i,d,pid_output,error,time,speed,stability,distance
0.74888,0.90745,0.6980178429112077,0.0017019920584962962,-0.025437780125234323,0.6742820548444697,0.34900892145560386,1754747293.3851523,1.9306758927249614,0,0.15099107854439614
0.74213,0.92582,0.6589200914741532,0.0017689624880109364,-0.02703552775536986,0.6336535262067943,0.3294600457370766,1754747293.4054797,0.9321201202652768,0,0.1705399542629234
0.73571,0.94407,0.6202439430371123,0.0018321299176268472,-0.028482218154919903,0.5935938547998192,0.31012197151855614,1754747293.4258482,1.0185296172478846,0,0.18987802848144386
0.73571,0.94407,0.6202439430371123,0.0018953047411267377,-0.028482218154919903,0.5936570296233191,0.31012197151855614,1754747293.4462192,1.0185296172478846,0,0.18987802848144386
0.72992,0.96229,0.5820083780743925,0.0019545164017622124,-0.028482218154919903,0.5554806763212349,0.29100418903719627,1754747293.4665666,0.4703080340608004,0,0.20899581096280373
0.72992,0.96229,0.5820083780743925,0.0020138460097666342,-0.028187124263043584,0.5558350998211156,0.29100418903719627,1754747293.4869545,0.4703080340608004,0,0.20899581096280373
0.718,0.99722,0.5082033505604171,0.0020683703140975044,-0.028187124263043584,0.48208459661147096,0.25410167528020855,1754747293.5084121,0.9290214926654966,0,0.24589832471979148
0.71229,1.01364,0.47344188848712976,0.002116992793697284,-0.025385684336775672,0.45017319694405133,0.23672094424356488,1754747293.5289521,0.8366513314951076,0,0.2632790557564351
0.70765,1.02896,0.44143371959990263,0.0021622317344208992,-0.025385684336775672,0.4182102669975478,0.22071685979995131,1754747293.5494485,0.8305922805988644,0,0.2792831402000487
0.70262,1.04271,0.41217076697394495,0.002204134690607518,-0.02342476109651945,0.390950140568033,0.20608538348697247,1754747293.5697813,0.7481749552806599,0,0.2939146165130275
0.69872,1.05512,0.3861554382418948,0.0022437601685460057,-0.02342476109651945,0.3649744373139213,0.1930777191209474,1754747293.5903044,0.6632845574789075,0,0.3069222808790526
0.69523,1.06575,0.3637789965743037,0.002282288545304872,-0.02158797622901635,0.3444733088905922,0.18188949828715184,1754747293.6114867,0.547201816013777,0,0.31811050171284816
0.69233,1.07448,0.34538116006335384,0.002317914821320061,-0.01901420725409262,0.32868486763058125,0.17269058003167692,1754747293.6321168,0.4559750719208398,0,0.3273094199683231
0.68995,1.0816,0.33036707846761315,0.0023519943548590177,-0.015845618570343424,0.3168734542521287,0.16518353923380658,1754747293.652748,0.3645589773093627,0,0.3348164607661934
0.68766,1.08696,0.31875458019888325,0.002384664331262444,-0.01337692321693703,0.3077623213132087,0.15937729009944163,1754747293.6732466,0.2919710983284741,0,0.3406227099005584
0.68618,1.09163,0.308957230267185,0.002416372138935579,-0.010915990678809757,0.30045761172731084,0.1544786151335925,1754747293.6937723,0.25652001341422753,0,0.3455213848664075
0.68509,1.09571,0.30052390891467917,0.0024468572700862847,-0.008497565849912224,0.29447320033485325,0.15026195445733959,1754747293.7140603,0.20817677018926214,0,0.3497380455426604
